word,pos,synonym
ไหว้,v,กราบ|คารวะ|คำนับ|ถวายบังคม|นอบนัอม|บูชา|ประณต|ประณม|วันทา|อัญชลี|อัญชุลี|ชุลี
ดู,v,จ้อง|ชม|ชระเมียง|ชะเง้อ|ชายตา|ชำเลือง|ทอดตา|ทอดพระเนตร|เพ่ง|มอง|เมิล|เมียง|ยล|แยงยล|เล็ง|แล
เดิน,v,กราย|คลาไคล|ไคลคลา|จรลี|เดินเหิน|เตร่|ทอดน่อง|บทจร|ผเดิน|ย่าง|ยาตร|ยาตรา|ยุรยาตร|เยื้องย่าง
ไป,v,ครรไล|คระไล|ไคล|จร|เต้า
แต่งงาน,v,วิวาห์|อาวาหะ|สมพงศ์|สมรส|อภิเษกสมรส
เศร้า,v,กำสรด|กำสรวล|คร่ำครวญ|ชอกช้ำ|ช้ำใจ|ช้ำชอก|มลาน|ร้องไห้|ระทด|ระทม|รันทด|เศร้าโศก|เศร้าหมอง|โศก|โศกศัลย์|โศกเศร้า|โศกสลด|โศกา|โศกี|สลด
โกรธ,v,กริ้ว|เกรี้ยวโกรธ|โกรธเกรี้ยว|โกรธขึ้ง|โกรธา|ขึ้งโกรธ|ขึ้งเคียด|เดือดดาล|พิโรธ|พื้นเสีย|โมโห
สวยงาม,adj,โกมล|งดงาม|งาม|แฉล้ม|ไฉไล|ตระการ|ประไพ|พริ้ง|พริ้งพราย|พริ้งเพรา|พริ้งเพริศ|พะงา|พิจิตร|ไพจิตร|มล่าวเมลา|รงรอง|รจิต|รังรอง|รังเรข|รุจิเรข|ลออ|วิจิตร|วิลาวัณย์|วิไล|สวย|สะคราญ|สิงคลิ้ง|สุทรรศน์|สุทัศน์|เสาวภา|เสาวลักษณ์|โสภณ|โสภา|โสภี|หาริ|อภิราม|อะเคื้อ|อันแถ้ง|อำไพ
รุ่งเรือง,adj,จรัส|จำรัส|ชวลิต|ชัชวาล|โชติช่วง|รุ่งโรจน์|รุจิ|รุจี
เลิศ,adj,เจ๋ง|บวร|ประเสริฐ|ล้ำเลิศ|วิศิษฏ์|วิเศษ|ยอด|ยอดเยี่ยม
ขี้เหร่,adj,ขี้ริ้ว|น่าเกลียด|น่ารังเกียจ|รูปชั่ว|อัปลักษณ์
เลว,adj,จังไร|จัญไร|ชั่ว|ชั่วช้า|ชั่วร้าย|ต่ำช้า|ทราม|แย่|ระยำ|ระยำตำบอน|เลวทราม|สาธารณ์|สามานย์|อัปมงคล|อัปรีย์
อาหาร,n,กับข้าว|ของกิน|เสบียง|จังหัน|นิตยภัต|บิณฑบาต|ผลาหาร|ภักขะ|ภักษา|ภักษาหาร|ภัตตาหาร|โภชนียะ|ขาทนียะ|ลฆุโภชน์|สมพล|สัมพล
เยี่ยว,n,กะชัง|ฉี่|บังคนเบา|ปัสสาวะ|มุตตะ|มูตร|เยี่ยว
เยี่ยว,v,เก็บดอกไม้|ฉี่|ชิ้งฉ่อง|เด็ดดอกไม้|ถ่ายเบา|ถ่ายปัสสาวะ|ปลดทุกข์|ปัสสาวะ|ยิงกระต่าย|ลงพระบังคนเบา
ขี้,n,กรีษ|กรีส|คูถ|บังคนหนัก|มูล|วัจจะ|อาจม|อึ|อุจจาระ|อุนจิ|พรรดึก|มลโค
ขี้,v,ถ่าย|ถ่ายท้อง|ถ่ายทุกข์|ถ่ายหนัก|ถ่ายอุจจาระ|ปลดทุกข์|ไปทุ่ง|ลงพระบังคนหนัก|อึ|อุจจาระ
คำพูด,n,ถ้อย|พจน์|พจนา|พากย์|พาท|วจนะ|วัจน์|วจี|วทนะ|วัทน์|วาจา|วาท|วาทะ
